epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5433,1.01233,0.92133,1.10563,0.61726,0.66176,0.60416,0.39325,1.21523,1.13419,1.252,0.000543038,0.000543038,0.000543038
2,48.5282,1.05201,1.00544,1.12757,0.48749,0.74963,0.60436,0.40509,1.2449,1.11213,1.27642,0.00108783,0.00108783,0.00108783
3,74.6254,1.09724,1.09417,1.1495,0.55133,0.59581,0.50998,0.32958,1.2544,1.4675,1.27824,0.00162161,0.00162161,0.00162161
4,91.8772,1.13293,1.13794,1.17757,0.42778,0.27874,0.20357,0.13145,2.0447,2.76614,1.75808,0.00161749,0.00161749,0.00161749
5,110.481,1.14972,1.1211,1.16939,0.26295,0.23128,0.14052,0.08956,2.05837,nan,1.66432,0.00160099,0.00160099,0.00160099
6,129.074,1.0987,1.08739,1.13758,0.45938,0.69229,0.55541,0.35177,1.27496,1.31907,1.29808,0.00158448,0.00158448,0.00158448
7,146.569,1.09888,1.0987,1.15487,0.49018,0.61144,0.48164,0.31775,1.28028,1.69304,1.29709,0.00156798,0.00156798,0.00156798
8,164.101,1.12693,1.12052,1.1751,0.44388,0.69994,0.50994,0.29598,1.42379,1.38012,1.35473,0.00155148,0.00155148,0.00155148
9,182.234,1.12315,1.12717,1.16693,0.52549,0.67937,0.58714,0.37586,1.32401,1.28743,1.30048,0.00153497,0.00153497,0.00153497
10,200.413,1.18452,1.15989,1.19801,0.52987,0.66827,0.56566,0.35136,1.35528,1.29376,1.34535,0.00151847,0.00151847,0.00151847
11,219.156,1.11593,1.09053,1.16016,0.52095,0.6801,0.57328,0.38377,1.28972,1.26641,1.29247,0.00150197,0.00150197,0.00150197
12,237.069,1.1243,1.13157,1.16495,0.43612,0.76329,0.54649,0.35716,1.24536,1.30693,1.278,0.00148546,0.00148546,0.00148546
13,249.424,1.10403,1.04198,1.12626,0.40792,0.70232,0.53275,0.33564,1.27261,1.26608,1.32521,0.00146896,0.00146896,0.00146896
14,267.188,1.09849,1.022,1.13494,0.50047,0.68045,0.56464,0.37543,1.30669,1.26157,1.32626,0.00145246,0.00145246,0.00145246
15,284.664,1.10466,1.03487,1.13461,0.4818,0.76898,0.57314,0.35257,1.23761,1.24786,1.25772,0.00143595,0.00143595,0.00143595
16,303.074,1.08367,1.033,1.13398,0.57845,0.65058,0.63552,0.41728,1.22122,1.30962,1.24993,0.00141945,0.00141945,0.00141945
17,327.704,1.10734,1.05106,1.14236,0.59218,0.7051,0.65278,0.42072,1.16667,1.08549,1.23542,0.00140295,0.00140295,0.00140295
18,350.22,1.11814,1.0228,1.14267,0.5189,0.71346,0.61704,0.39225,1.21706,1.13418,1.27736,0.00138644,0.00138644,0.00138644
19,369.586,1.0761,1.00342,1.11472,0.54247,0.64511,0.58891,0.39266,1.27438,1.33356,1.26006,0.00136994,0.00136994,0.00136994
20,387.165,1.0357,1.00181,1.10569,0.55349,0.69385,0.61209,0.40845,1.15843,1.18498,1.19928,0.00135344,0.00135344,0.00135344
21,404.859,1.05015,0.99786,1.12473,0.57513,0.65152,0.63013,0.40549,1.25313,1.20772,1.26051,0.00133693,0.00133693,0.00133693
22,423.184,1.10055,1.00276,1.14343,0.46581,0.72593,0.61301,0.40839,1.16848,1.29486,1.22717,0.00132043,0.00132043,0.00132043
23,441.685,1.04313,0.95529,1.11243,0.52305,0.72482,0.58892,0.38433,1.16919,1.14077,1.2013,0.00130393,0.00130393,0.00130393
24,460.082,1.06576,0.9955,1.10366,0.57356,0.66341,0.61786,0.38615,1.32875,1.15259,1.29692,0.00128742,0.00128742,0.00128742
25,478.518,1.0594,0.9846,1.12745,0.63788,0.58645,0.66019,0.44101,1.21975,1.11858,1.24929,0.00127092,0.00127092,0.00127092
26,493.674,1.00471,0.94367,1.08241,0.55365,0.63471,0.60293,0.39727,1.22781,1.21859,1.26057,0.00125442,0.00125442,0.00125442
27,511.955,1.07102,0.95212,1.12775,0.57823,0.69229,0.66323,0.42819,1.26007,1.1857,1.24728,0.00123791,0.00123791,0.00123791
28,530.52,1.04924,0.96683,1.11696,0.58568,0.63435,0.62274,0.39047,1.30055,1.16298,1.27901,0.00122141,0.00122141,0.00122141
29,548.872,0.99758,0.9024,1.08858,0.55547,0.75735,0.62367,0.41294,1.24617,1.15361,1.28503,0.00120491,0.00120491,0.00120491
30,567.151,0.99147,0.91088,1.09737,0.52145,0.7342,0.66297,0.42152,1.21854,1.2157,1.27432,0.0011884,0.0011884,0.0011884
31,585.801,1.03343,0.91098,1.12698,0.51097,0.71201,0.57553,0.38466,1.25191,1.2882,1.28717,0.0011719,0.0011719,0.0011719
32,604.165,0.99746,0.88181,1.09783,0.52581,0.60733,0.53558,0.35365,1.31945,1.62952,1.29084,0.0011554,0.0011554,0.0011554
33,616.459,1.02111,0.85687,1.10395,0.64198,0.64903,0.6582,0.44883,1.19022,1.14254,1.20612,0.00113889,0.00113889,0.00113889
34,641.038,0.99552,0.8675,1.07092,0.5652,0.7706,0.69979,0.43963,1.27501,1.20836,1.26362,0.00112239,0.00112239,0.00112239
35,659.534,0.99717,0.88306,1.09412,0.59247,0.70435,0.67186,0.4206,1.2449,1.09298,1.27047,0.00110589,0.00110589,0.00110589
36,677.93,0.96262,0.89053,1.07901,0.60538,0.66819,0.64968,0.41747,1.22947,1.13734,1.24046,0.00108938,0.00108938,0.00108938
37,696.5,0.96765,0.84599,1.06759,0.54147,0.7631,0.69909,0.45288,1.21751,1.11334,1.2573,0.00107288,0.00107288,0.00107288
38,714.951,0.96977,0.81772,1.07614,0.62508,0.75579,0.72672,0.47824,1.21337,1.01997,1.23741,0.00105638,0.00105638,0.00105638
39,733.477,0.96738,0.83325,1.07286,0.63225,0.66321,0.6755,0.40528,1.28618,1.10284,1.30618,0.00103987,0.00103987,0.00103987
40,750.961,0.94316,0.76761,1.05626,0.65681,0.64171,0.66221,0.43297,1.25283,1.12756,1.25226,0.00102337,0.00102337,0.00102337
41,768.559,0.93765,0.78987,1.05755,0.77241,0.60537,0.72282,0.48537,1.18058,1.05194,1.23778,0.00100687,0.00100687,0.00100687
42,786.944,0.91959,0.73325,1.0475,0.57949,0.78676,0.68743,0.45939,1.19546,1.05927,1.24009,0.000990365,0.000990365,0.000990365
43,809.369,0.92892,0.77789,1.05376,0.67107,0.72017,0.72567,0.4978,1.20525,1.0239,1.26338,0.000973861,0.000973861,0.000973861
44,827.709,0.91696,0.75722,1.03312,0.58227,0.67736,0.66272,0.42523,1.27533,1.1486,1.28183,0.000957358,0.000957358,0.000957358
45,840.105,0.96414,0.78647,1.09377,0.57106,0.80281,0.65391,0.43437,1.1887,1.06691,1.24612,0.000940855,0.000940855,0.000940855
46,852.531,0.92225,0.72761,1.02692,0.59818,0.7676,0.71214,0.46666,1.18176,1.09505,1.20767,0.000924352,0.000924352,0.000924352
47,865.059,0.91032,0.71915,1.04563,0.56461,0.7521,0.68213,0.46732,1.14341,1.09313,1.21521,0.000907848,0.000907848,0.000907848
48,881.658,0.88632,0.73052,1.02883,0.58972,0.69742,0.67585,0.46308,1.17565,1.16028,1.25758,0.000891345,0.000891345,0.000891345
49,899.1,0.90901,0.73939,1.04809,0.61728,0.71346,0.69484,0.46302,1.17082,1.12509,1.20939,0.000874842,0.000874842,0.000874842
50,916.489,0.93218,0.74733,1.05787,0.59403,0.70773,0.66333,0.44381,1.23533,1.21636,1.29238,0.000858338,0.000858338,0.000858338
51,933.79,0.88227,0.70834,1.02972,0.56321,0.76251,0.69667,0.47289,1.20758,1.06054,1.25706,0.000841835,0.000841835,0.000841835
52,953.991,0.92473,0.68363,1.06277,0.58109,0.73473,0.67655,0.45929,1.18412,1.15441,1.20329,0.000825332,0.000825332,0.000825332
53,972.958,0.89852,0.69251,1.05871,0.65283,0.75845,0.73433,0.47325,1.24447,1.06483,1.25558,0.000808828,0.000808828,0.000808828
54,995.323,0.89286,0.69561,1.02714,0.58418,0.78487,0.68789,0.46973,1.14396,1.12898,1.19233,0.000792325,0.000792325,0.000792325
55,1007.97,0.92588,0.70873,1.04797,0.64323,0.67371,0.71075,0.4687,1.20157,0.9833,1.24467,0.000775822,0.000775822,0.000775822
56,1020.29,0.87262,0.6648,1.03203,0.63409,0.73975,0.74526,0.49003,1.23493,1.04947,1.27208,0.000759318,0.000759318,0.000759318
57,1032.6,0.85159,0.63423,1.02022,0.6924,0.69227,0.74769,0.50569,1.21026,1.01517,1.27409,0.000742815,0.000742815,0.000742815
58,1051.69,0.84569,0.6351,1.02355,0.66918,0.74421,0.78281,0.51794,1.20408,0.99054,1.27278,0.000726312,0.000726312,0.000726312
59,1073.71,0.83387,0.66543,1.01263,0.73954,0.73462,0.78471,0.53159,1.16765,0.89727,1.25205,0.000709809,0.000709809,0.000709809
60,1091.93,0.82934,0.61958,1.01573,0.62813,0.76716,0.76209,0.51831,1.21637,0.96093,1.25795,0.000693305,0.000693305,0.000693305
61,1110.23,0.83533,0.63857,1.01462,0.67015,0.73039,0.74757,0.49302,1.19345,1.01097,1.2417,0.000676802,0.000676802,0.000676802
62,1127.99,0.82494,0.60989,0.99871,0.61079,0.72638,0.68784,0.48061,1.15307,1.10301,1.21169,0.000660299,0.000660299,0.000660299
63,1145.84,0.82798,0.60562,0.99904,0.68118,0.7139,0.74114,0.50261,1.18465,1.22003,1.22148,0.000643795,0.000643795,0.000643795
64,1163.26,0.82848,0.61973,1.00221,0.7097,0.64996,0.74455,0.51994,1.13384,1.08276,1.19849,0.000627292,0.000627292,0.000627292
65,1180.6,0.82594,0.60345,1.02014,0.62441,0.79692,0.74976,0.52166,1.15258,0.98321,1.21866,0.000610789,0.000610789,0.000610789
66,1198.02,0.79167,0.57591,0.98953,0.78054,0.67897,0.77113,0.50567,1.24014,1.03989,1.29394,0.000594286,0.000594286,0.000594286
67,1216.21,0.81355,0.56082,1.00274,0.68261,0.70365,0.76392,0.52973,1.18536,1.0357,1.2526,0.000577782,0.000577782,0.000577782
68,1233.76,0.78107,0.55514,0.98098,0.73596,0.71814,0.76714,0.52789,1.19424,0.98329,1.25439,0.000561279,0.000561279,0.000561279
69,1252.04,0.74818,0.55563,0.97645,0.75622,0.67424,0.75527,0.54317,1.1128,0.98773,1.19254,0.000544776,0.000544776,0.000544776
70,1270.25,0.76959,0.5547,0.97346,0.77613,0.67736,0.75544,0.53066,1.14778,0.95502,1.23096,0.000528272,0.000528272,0.000528272
71,1292.7,0.76261,0.51689,0.97555,0.63159,0.793,0.76938,0.53371,1.15151,1.01862,1.22562,0.000511769,0.000511769,0.000511769
72,1310.35,0.77736,0.52739,0.98878,0.67998,0.73463,0.74189,0.51286,1.14054,1.00551,1.21678,0.000495266,0.000495266,0.000495266
73,1328.1,0.76424,0.54582,0.97769,0.67876,0.73619,0.75719,0.51846,1.15398,1.02733,1.22914,0.000478762,0.000478762,0.000478762
74,1345.49,0.7481,0.52212,0.97606,0.75658,0.68249,0.73856,0.49266,1.18353,1.06162,1.24835,0.000462259,0.000462259,0.000462259
75,1362.82,0.76979,0.56348,0.99096,0.66232,0.80125,0.75846,0.52703,1.12668,1.00466,1.19799,0.000445756,0.000445756,0.000445756
76,1380.18,0.74171,0.51087,0.97354,0.6532,0.72821,0.7326,0.50646,1.18675,1.0712,1.25699,0.000429253,0.000429253,0.000429253
77,1393.09,0.72111,0.50586,0.96755,0.66848,0.77028,0.7406,0.52828,1.14503,1.04063,1.23145,0.000412749,0.000412749,0.000412749
78,1405.57,0.76415,0.51032,0.98129,0.6504,0.80125,0.75231,0.52988,1.1367,1.06149,1.2166,0.000396246,0.000396246,0.000396246
79,1418.03,0.7206,0.49872,0.95082,0.7719,0.68085,0.7542,0.51238,1.18712,1.03721,1.25935,0.000379743,0.000379743,0.000379743
80,1435.7,0.75293,0.50806,0.98304,0.67147,0.74319,0.76753,0.53283,1.15913,1.09852,1.2361,0.000363239,0.000363239,0.000363239
81,1453.27,0.74505,0.51955,0.9915,0.69274,0.78008,0.75816,0.50834,1.18683,1.00358,1.27805,0.000346736,0.000346736,0.000346736
82,1470.94,0.7235,0.4875,0.96449,0.67869,0.80418,0.79508,0.54207,1.177,0.94158,1.26162,0.000330233,0.000330233,0.000330233
83,1488.97,0.69835,0.4689,0.95668,0.70835,0.80125,0.80142,0.54188,1.17287,0.94246,1.24447,0.000313729,0.000313729,0.000313729
84,1506.81,0.70903,0.49094,0.95653,0.71803,0.78164,0.76286,0.53579,1.1889,1.05863,1.25329,0.000297226,0.000297226,0.000297226
85,1526.12,0.69688,0.50545,0.95607,0.72935,0.74443,0.78969,0.54233,1.21185,1.00651,1.28192,0.000280723,0.000280723,0.000280723
86,1543.84,0.69041,0.47774,0.94698,0.73446,0.7393,0.78612,0.54344,1.1802,1.00715,1.28992,0.00026422,0.00026422,0.00026422
87,1561.65,0.69495,0.46483,0.95508,0.74208,0.73342,0.79731,0.55388,1.12648,0.97049,1.22821,0.000247716,0.000247716,0.000247716
88,1581.49,0.69632,0.45887,0.94911,0.75748,0.70677,0.77957,0.54195,1.15012,1.01669,1.23138,0.000231213,0.000231213,0.000231213
89,1598.91,0.69307,0.4714,0.95179,0.72696,0.75279,0.78358,0.55069,1.15446,1.00192,1.22271,0.00021471,0.00021471,0.00021471
90,1614.12,0.69186,0.48036,0.95784,0.72096,0.76821,0.78923,0.54834,1.16078,0.96788,1.23392,0.000198206,0.000198206,0.000198206
91,1632.86,0.63427,0.37028,0.93505,0.7599,0.71698,0.79653,0.56484,1.14696,0.96566,1.22886,0.000181703,0.000181703,0.000181703
92,1650.88,0.6013,0.36988,0.94774,0.7567,0.70782,0.79409,0.55552,1.14647,1.01277,1.21989,0.0001652,0.0001652,0.0001652
93,1668.62,0.5883,0.35349,0.93556,0.74671,0.75733,0.80038,0.55487,1.16099,0.94317,1.23513,0.000148696,0.000148696,0.000148696
94,1683.79,0.58987,0.35772,0.92617,0.70335,0.80124,0.78592,0.55404,1.15305,0.96076,1.22873,0.000132193,0.000132193,0.000132193
95,1702.15,0.5832,0.35276,0.92574,0.7131,0.80522,0.79649,0.55969,1.137,0.9472,1.2304,0.00011569,0.00011569,0.00011569
96,1719.79,0.5814,0.34182,0.92787,0.75754,0.76726,0.79399,0.56347,1.15567,0.93915,1.22519,9.91865e-05,9.91865e-05,9.91865e-05
97,1737.04,0.58738,0.34629,0.92872,0.7192,0.83525,0.79172,0.56199,1.15452,0.95693,1.22663,8.26832e-05,8.26832e-05,8.26832e-05
98,1749.47,0.55835,0.32881,0.91395,0.75418,0.77843,0.80032,0.56742,1.14437,0.94423,1.22603,6.61799e-05,6.61799e-05,6.61799e-05
99,1767.86,0.56062,0.33993,0.92568,0.7309,0.79536,0.79876,0.56535,1.13735,0.94384,1.23009,4.96766e-05,4.96766e-05,4.96766e-05
100,1785.57,0.55682,0.32497,0.91091,0.71594,0.81105,0.79138,0.55985,1.13772,0.96557,1.23173,3.31733e-05,3.31733e-05,3.31733e-05
